program_name_and_version,EnergyPlus 9.4.0
program_version_release_date,09/29/2020
program_name_short,E+
results_submission_date,10/19/2020
organization,National Renewable Energy Laboratory
organization_short,NREL
Annual Heating Loads 600,4.38056
Annual Heating Loads 610,4.42222
Annual Heating Loads 620,4.55
Annual Heating Loads 630,4.88056
Annual Heating Loads 640,2.68611
Annual Heating Loads 650,0
Annual Heating Loads 900,1.22222
Annual Heating Loads 910,1.50278
Annual Heating Loads 920,3.18889
Annual Heating Loads 930,3.90278
Annual Heating Loads 940,0.766667
Annual Heating Loads 950,0
Annual Heating Loads 960,2.425
Annual Heating Loads 195,4.35833
Annual Heating Loads 200,5.57778
Annual Heating Loads 210,6.60556
Annual Heating Loads 215,5.94722
Annual Heating Loads 220,7.11389
Annual Heating Loads 230,10.9028
Annual Heating Loads 240,5.87222
Annual Heating Loads 250,5.18889
Annual Heating Loads 270,4.45556
Annual Heating Loads 280,4.65556
Annual Heating Loads 290,4.49167
Annual Heating Loads 300,4.5
Annual Heating Loads 310,4.77778
Annual Heating Loads 320,3.76111
Annual Heating Loads 395,4.98333
Annual Heating Loads 400,7.02778
Annual Heating Loads 410,8.91389
Annual Heating Loads 420,7.65556
Annual Heating Loads 430,6.02222
Annual Heating Loads 440,4.56944
Annual Heating Loads 800,5.36111
Annual Heating Loads 810,1.96667
Annual Cooling Loads 600,6.75278
Annual Cooling Loads 610,4.75833
Annual Cooling Loads 620,4.17778
Annual Cooling Loads 630,2.78611
Annual Cooling Loads 640,6.46667
Annual Cooling Loads 650,5.78889
Annual Cooling Loads 900,2.51667
Annual Cooling Loads 910,1.23889
Annual Cooling Loads 920,2.55556
Annual Cooling Loads 930,1.64167
Annual Cooling Loads 940,2.44167
Annual Cooling Loads 950,0.547222
Annual Cooling Loads 960,0.636111
Annual Cooling Loads 195,0.413889
Annual Cooling Loads 200,0.588889
Annual Cooling Loads 210,0.363889
Annual Cooling Loads 215,0.644444
Annual Cooling Loads 220,0.405556
Annual Cooling Loads 230,0.694444
Annual Cooling Loads 240,0.705556
Annual Cooling Loads 250,3.18889
Annual Cooling Loads 270,8.49722
Annual Cooling Loads 280,5.50556
Annual Cooling Loads 290,6.4
Annual Cooling Loads 300,5.47222
Annual Cooling Loads 310,3.74167
